ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
14,1.82213,.48246,-.05921,.24923,-.31685,-.79151,.80523,-.01928,.94156,3.46436,-.71126,-.84637,CL1,CL0,CL0,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
15,1.82213,.48246,-.05921,.96082,-.31685,-.92104,1.45421,.44585,-.60633,1.63088,1.29221,.7654,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
16,1.82213,-.48246,.45468,.96082,-.31685,-2.05048,-1.50796,-1.55521,-1.07533,1.13407,-.71126,-.52593,CL5,CL2,CL2,CL0,CL6,CL1,CL5,CL2,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
17,.49788,.48246,-.61113,.96082,-.31685,-1.55078,-.80615,-1.68062,.28783,.7583,-.21712,-2.07848,CL6,CL0,CL0,CL1,CL6,CL3,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
18,1.09449,-.48246,-1.7379,.96082,-.31685,.52135,-1.23177,-.31776,-.45321,-1.38502,-1.37983,-.84637,CL6,CL1,CL1,CL0,CL6,CL6,CL4,CL1,CL0,CL1,CL0,CL2,CL0,CL1,CL0,CL1,CL6,CL0,CL0
19,1.82213,-.48246,.45468,-.09765,-.31685,1.37297,-.15487,-.17779,-1.92595,-1.5184,-.71126,-.21575,CL6,CL2,CL0,CL2,CL6,CL3,CL6,CL2,CL0,CL2,CL0,CL0,CL2,CL1,CL0,CL1,CL0,CL0,CL0
20,.49788,-.48246,-.05921,.96082,-.31685,-.34799,-1.7625,-2.39883,-1.92595,.7583,-1.37983,-2.07848,CL4,CL1,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL1,CL0,CL0,CL0,CL0,CL6,CL0,CL1,CL0,CL0
21,1.09449,-.48246,-.05921,.96082,-.31685,-.79151,.80523,.7233,1.61108,-1.13788,.19268,-.21575,CL6,CL1,CL1,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL3,CL0,CL0
22,2.59171,-.48246,-2.43591,.96082,-.31685,-1.1943,.47617,-1.11902,-.60633,1.81175,-.21712,-1.18084,CL5,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
23,1.09449,-.48246,.45468,.96082,-.31685,.41667,-.94779,-.84732,1.11406,-.89891,-.71126,.07987,CL4,CL0,CL0,CL0,CL5,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
24,1.09449,-.48246,-1.7379,.96082,-.31685,1.60383,-3.27393,-1.27553,.28783,-1.0145,-1.37983,-1.54858,CL6,CL2,CL1,CL5,CL6,CL2,CL6,CL2,CL0,CL0,CL1,CL0,CL0,CL1,CL0,CL0,CL6,CL0,CL1
25,1.82213,-.48246,.45468,.96082,-.31685,-.14882,.63779,1.24033,.76096,1.46191,-.21712,-.52593,CL5,CL1,CL1,CL1,CL5,CL1,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL0
26,1.09449,-.48246,-.61113,.96082,-.31685,-.79151,-.43999,-1.27553,.94156,-.00665,-.21712,.40148,CL5,CL1,CL2,CL0,CL6,CL1,CL5,CL2,CL0,CL2,CL0,CL0,CL3,CL2,CL0,CL2,CL1,CL0,CL0
27,1.82213,.48246,-1.22751,.24923,-.31685,-.05188,-1.6334,-3.27393,-.76096,.58489,.19268,-1.54858,CL6,CL0,CL0,CL2,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
28,.49788,-.48246,.45468,.96082,-.31685,.52135,-1.23177,-.01928,-.01729,-2.18109,1.86203,.40148,CL6,CL1,CL1,CL2,CL6,CL6,CL5,CL1,CL0,CL0,CL0,CL0,CL2,CL1,CL0,CL3,CL2,CL0,CL0
29,.49788,.48246,1.16365,.96082,-.31685,.04257,-1.50796,-.71727,.28783,1.30612,.19268,-.52593,CL6,CL0,CL0,CL0,CL4,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
30,1.09449,-.48246,1.98437,.96082,-.31685,-1.32828,1.74091,.88309,.94156,1.81175,-.21712,-.52593,CL0,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
31,1.09449,-.48246,-1.7379,.96082,-.31685,.31287,-.80615,-1.27553,-1.47955,-.65253,-1.37983,.07987,CL6,CL1,CL1,CL1,CL6,CL2,CL6,CL1,CL0,CL0,CL1,CL0,CL1,CL1,CL1,CL1,CL2,CL0,CL0
32,.49788,.48246,-1.7379,-.28519,-.31685,-1.1943,-.80615,.14143,-.60633,-.00665,-1.37983,-.84637,CL3,CL0,CL0,CL2,CL3,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
33,.49788,-.48246,.45468,.96082,-.31685,-.79151,-1.23177,-.01928,.43852,-.00665,.19268,-.84637,CL6,CL1,CL1,CL0,CL6,CL3,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL6,CL0,CL0
34,-.95197,-.48246,.45468,.96082,-.31685,.41667,-.30033,.29338,1.2861,-.14277,-.71126,-1.54858,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
35,.49788,-.48246,.45468,-.57009,.1144,1.02119,.63779,.88309,-2.90161,-.78155,.52975,1.92173,CL4,CL2,CL1,CL1,CL5,CL2,CL5,CL2,CL1,CL1,CL1,CL2,CL1,CL1,CL1,CL1,CL5,CL0,CL1
36,2.59171,-.48246,-2.43591,.96082,-.31685,-.24649,-.80615,-2.63199,-.30172,-.78155,.52975,-1.54858,CL3,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
37,.49788,-.48246,.45468,.96082,-.31685,-.24649,-.57545,-.17779,-.01729,-1.5184,-.21712,-.21575,CL6,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
38,1.82213,-.48246,-2.43591,-.57009,-.31685,.31287,.32197,1.06238,.13136,-.65253,.52975,-.52593,CL6,CL1,CL2,CL1,CL6,CL3,CL4,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL0
39,1.09449,-.48246,.45468,.96082,-.31685,-1.55078,1.2861,.29338,-.01729,.7583,-.21712,-.84637,CL6,CL1,CL0,CL0,CL4,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
40,2.59171,.48246,-.05921,.96082,-.31685,-.24649,-.94779,-1.11902,-.76096,.41594,-1.37983,-.21575,CL6,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL4,CL0,CL1,CL0,CL0
41,.49788,-.48246,1.16365,.96082,-.31685,.04257,-.43999,-.01928,-2.07848,.7583,-.71126,.07987,CL5,CL1,CL0,CL2,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
42,.49788,.48246,.45468,.96082,-.31685,.82562,.00332,1.06238,1.81866,-.40581,-.21712,-.21575,CL4,CL0,CL0,CL0,CL4,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
43,.49788,-.48246,1.16365,.96082,-.31685,-.14882,-.94779,-1.27553,-.01729,-.65253,-.21712,-.52593,CL6,CL0,CL3,CL5,CL6,CL2,CL4,CL6,CL0,CL4,CL0,CL2,CL2,CL0,CL0,CL0,CL1,CL0,CL0
44,.49788,-.48246,-.05921,.96082,-.31685,-.92104,-.57545,-.31776,-.15487,-1.0145,-.21712,-.21575,CL6,CL2,CL2,CL0,CL6,CL3,CL6,CL3,CL0,CL2,CL0,CL0,CL0,CL2,CL0,CL0,CL6,CL0,CL0
45,-.07854,-.48246,.45468,.96082,.1144,-1.05308,1.45421,.44585,1.2861,.93949,-.21712,.07987,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
46,-.07854,.48246,.45468,.96082,-.31685,-.46725,.47617,1.24033,.94156,1.63088,-1.37983,-2.07848,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
47,1.09449,.48246,-.61113,.24923,-.31685,.31287,.63779,-1.11902,.28783,1.46191,-.71126,-.84637,CL3,CL0,CL0,CL0,CL6,CL1,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL2,CL0,CL1
48,1.09449,-.48246,1.16365,.96082,-.31685,-2.05048,.80523,.29338,.94156,1.13407,-2.55524,-1.18084,CL5,CL0,CL0,CL0,CL6,CL1,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
49,1.09449,-.48246,-1.7379,.96082,-.31685,.13606,-.80615,-.31776,-.15487,-.65253,.19268,-.84637,CL6,CL1,CL1,CL0,CL6,CL5,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL6,CL0,CL0
50,-.07854,.48246,1.16365,.96082,-.22166,.82562,-.57545,-1.97495,-.91699,.25953,.52975,1.2247,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0
51,.49788,-.48246,1.16365,.96082,-.31685,1.02119,-.15487,-.17779,-1.21213,-.00665,-.71126,-.84637,CL6,CL1,CL2,CL1,CL6,CL3,CL6,CL2,CL0,CL3,CL0,CL0,CL2,CL1,CL0,CL3,CL6,CL0,CL0
52,1.09449,-.48246,-.05921,.24923,-.31685,1.13281,.96248,-.58331,-.91699,-1.92173,1.86203,1.92173,CL2,CL1,CL1,CL1,CL6,CL2,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL2,CL0,CL0
53,1.82213,.48246,.45468,.96082,-.31685,-.14882,.00332,-1.42424,.28783,-.78155,.52975,-1.54858,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
54,1.09449,-.48246,1.16365,.96082,-.31685,-1.43907,-.15487,1.06238,.28783,.25953,-.21712,-.21575,CL5,CL1,CL1,CL0,CL6,CL1,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
55,1.82213,-.48246,-1.7379,.96082,-.31685,.04257,1.11406,-.58331,-1.07533,-1.13788,1.29221,1.2247,CL6,CL0,CL0,CL0,CL6,CL2,CL6,CL6,CL0,CL3,CL0,CL0,CL3,CL1,CL0,CL1,CL1,CL0,CL0
56,1.82213,.48246,-.05921,.96082,-.31685,.04257,-.69509,-1.11902,-.45321,-.40581,-1.37983,-2.07848,CL3,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
57,.49788,.48246,-.61113,.96082,-.31685,.04257,.00332,-1.68062,-.01729,.25953,-1.37983,-1.54858,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
58,-.07854,.48246,.45468,.96082,-.31685,-.58016,.63779,-1.97495,.28783,.7583,-.71126,-.52593,CL1,CL0,CL0,CL0,CL6,CL0,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
59,1.09449,-.48246,-1.22751,.96082,-.31685,.22393,.63779,-.01928,-.45321,-.40581,1.86203,1.2247,CL5,CL1,CL1,CL0,CL6,CL5,CL5,CL5,CL2,CL3,CL1,CL3,CL3,CL1,CL0,CL2,CL6,CL0,CL1
60,1.09449,-.48246,.45468,.96082,-.31685,-.46725,-1.23177,-1.27553,-1.6209,-.14277,-1.37983,-1.54858,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
61,-.07854,.48246,1.98437,.96082,-.31685,1.37297,.32197,.29338,-.30172,-.27607,-1.37983,.07987,CL5,CL0,CL0,CL3,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
62,1.09449,-.48246,1.16365,.96082,-.50212,-2.21844,1.58487,1.24033,.13136,1.30612,-1.37983,-1.18084,CL5,CL1,CL0,CL0,CL4,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL1
63,-.07854,-.48246,.45468,.96082,-.31685,-.58016,-1.37639,-1.82919,-1.34289,.41594,-1.37983,-1.18084,CL5,CL0,CL0,CL0,CL5,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0
64,1.09449,-.48246,.45468,.96082,-.31685,1.02119,-.30033,-.71727,-.60633,-.00665,-1.37983,-1.18084,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
65,1.09449,-.48246,1.98437,.96082,-.31685,-1.55078,.47617,1.06238,-.45321,.93949,-1.37983,-.52593,CL6,CL1,CL0,CL1,CL6,CL6,CL5,CL4,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
66,.49788,-.48246,-.61113,.96082,-.31685,.73545,.47617,-.84732,1.11406,.58489,.52975,-.21575,CL5,CL0,CL0,CL3,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
67,1.09449,-.48246,-1.7379,.96082,-.31685,-1.05308,-.69509,-1.11902,1.2861,.41594,-.71126,-1.18084,CL4,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
68,-.07854,-.48246,1.16365,.96082,-.31685,-.34799,-.30033,1.06238,-.91699,-.14277,.88113,-.21575,CL5,CL1,CL1,CL0,CL6,CL2,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL5,CL0,CL0
69,.49788,-.48246,-.05921,-.28519,-.31685,-.92104,.00332,.29338,-.15487,-.27607,-.21712,.07987,CL5,CL1,CL1,CL0,CL5,CL2,CL6,CL3,CL0,CL2,CL0,CL1,CL1,CL1,CL0,CL1,CL1,CL0,CL0
70,1.09449,.48246,-1.7379,.96082,-.31685,-.05188,-.69509,-1.68062,.28783,-.00665,-1.37983,-.84637,CL6,CL0,CL0,CL6,CL1,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
71,-.07854,-.48246,-.61113,.96082,-.31685,-.34799,-.30033,.14143,-1.92595,-.27607,.52975,.7654,CL6,CL2,CL1,CL0,CL4,CL2,CL6,CL3,CL0,CL3,CL0,CL2,CL2,CL2,CL0,CL0,CL2,CL0,CL1
72,1.09449,.48246,-1.22751,.24923,-.31685,-.46725,1.11406,-.31776,1.11406,.12331,-2.55524,-.84637,CL5,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
73,1.09449,-.48246,-1.22751,.96082,-.31685,-1.55078,.96248,-.01928,.43852,.93949,.19268,.40148,CL6,CL1,CL1,CL0,CL6,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
74,1.09449,-.48246,-.05921,.96082,-.31685,-.67825,-.57545,-.31776,.28783,1.13407,-.71126,-.21575,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
75,2.59171,.48246,-1.7379,.96082,-.31685,-1.1943,-1.7625,-2.8595,-1.47955,.25953,.52975,-2.07848,CL3,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
76,-.07854,-.48246,.45468,.96082,-.31685,-.14882,.16767,-1.55521,-.76096,-.40581,.52975,-.21575,CL5,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
77,1.09449,.48246,-1.43719,.24923,-.31685,-.34799,-.69509,-1.55521,.43852,.58489,-2.55524,-2.07848,CL4,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
78,.49788,-.48246,.45468,.96082,-.31685,.13606,-1.6334,-.58331,-1.21213,-.40581,-.21712,-2.07848,CL3,CL1,CL0,CL0,CL6,CL2,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL0,CL6,CL0,CL0
79,.49788,-.48246,-.61113,.96082,-.31685,-.79151,-.80615,-2.09015,-1.6209,-2.18109,-2.55524,-1.18084,CL6,CL0,CL1,CL0,CL6,CL1,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL1
80,.49788,-.48246,-.05921,.96082,-.31685,-.34799,-.80615,-1.97495,1.11406,-.65253,-.21712,-.21575,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
81,2.59171,.48246,1.98437,.24923,-.31685,.04257,.32197,.44585,-.15487,1.46191,-.21712,-.21575,CL6,CL0,CL0,CL3,CL6,CL1,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
82,1.82213,.48246,.45468,.96082,-.31685,-.79151,-1.23177,-.01928,-.91699,-.14277,.88113,.40148,CL5,CL1,CL1,CL1,CL6,CL2,CL6,CL1,CL0,CL0,CL1,CL0,CL0,CL1,CL1,CL1,CL1,CL0,CL0
83,1.82213,-.48246,1.16365,.24923,-.31685,-2.05048,1.45421,-.97631,.59042,1.46191,-.21712,-1.18084,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
84,1.82213,.48246,-1.43719,.96082,-.22166,1.02119,-.94779,-1.11902,1.45039,-1.64101,.19268,-.21575,CL3,CL0,CL0,CL5,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
85,1.09449,-.48246,-1.7379,.96082,-.31685,-.34799,.16767,-.31776,-.30172,-.14277,-1.37983,.07987,CL5,CL0,CL0,CL0,CL6,CL2,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
86,-.07854,.48246,-1.22751,.96082,-.31685,-.46725,.00332,-1.55521,.13136,.41594,.52975,1.2247,CL3,CL0,CL1,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
87,.49788,-.48246,-.61113,.96082,-.31685,.73545,-.15487,-1.11902,.13136,-.14277,-.21712,.40148,CL5,CL0,CL1,CL0,CL6,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
88,1.82213,-.48246,-1.7379,.96082,-.31685,-.92104,.16767,-.45174,-.30172,.25953,-.71126,.40148,CL5,CL0,CL0,CL0,CL5,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
89,.49788,.48246,-.61113,.96082,-.31685,.31287,-1.92173,-1.42424,-.76096,-.52745,-1.37983,-2.07848,CL3,CL0,CL1,CL1,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
90,.49788,.48246,1.16365,.96082,-.31685,.91093,-.57545,.29338,-.60633,-.27607,.52975,-.21575,CL5,CL1,CL1,CL2,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL0,CL0,CL1
91,.49788,.48246,1.16365,.96082,-.31685,1.37297,.32197,.7233,.28783,-.78155,-1.37983,.07987,CL6,CL0,CL0,CL0,CL6,CL3,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0
92,.49788,-.48246,-.05921,.24923,-.31685,.41667,-.43999,.7233,.28783,.7583,.88113,.7654,CL2,CL0,CL0,CL3,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
93,-.07854,-.48246,-1.22751,.96082,-.31685,-1.55078,-.30033,-.45174,.28783,-.00665,-.71126,-.84637,CL4,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
94,2.59171,.48246,-1.7379,.96082,-.31685,-.14882,-.80615,-.97631,.76096,.41594,-1.37983,-1.54858,CL3,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
95,1.09449,-.48246,1.16365,.96082,-.31685,-.67825,-.57545,-.97631,.59042,-.14277,-1.37983,-2.07848,CL5,CL0,CL0,CL3,CL6,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0
96,1.09449,-.48246,1.16365,.96082,-.31685,-.46725,.32197,1.06238,-1.6209,1.13407,.52975,-.21575,CL6,CL1,CL1,CL1,CL6,CL1,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
97,.49788,.48246,.45468,.24923,-.31685,.13606,-1.09207,.29338,-.15487,.7583,-1.37983,-1.54858,CL4,CL1,CL0,CL0,CL6,CL2,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL3,CL0,CL0
98,1.09449,.48246,1.16365,.96082,-.31685,-.46725,.63779,-.31776,-.60633,-1.13788,.19268,-.84637,CL5,CL1,CL0,CL1,CL6,CL1,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
99,.49788,-.48246,1.98437,.24923,-.31685,-1.1943,-.43999,-.01928,-.60633,.93949,-.21712,1.2247,CL4,CL1,CL0,CL0,CL6,CL1,CL4,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL2,CL0,CL0
100,-.07854,.48246,.45468,.96082,-.31685,-.67825,3.00537,.7233,.94156,1.63088,.52975,.40148,CL6,CL2,CL0,CL3,CL6,CL3,CL5,CL0,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0
